route_id,seq,node_id,lon,lat
10690894231__2334439514__cand_03_penalty,24,11489024178,-8.6079745,41.1847598
10690894231__2334439514__cand_03_penalty,25,112652002,-8.6090463,41.1846757
10690894231__2334439514__cand_03_penalty,26,112652004,-8.6097347,41.1845367
10690894231__2334439514__cand_03_penalty,27,2169139649,-8.6099226,41.184488
10690894231__2334439514__cand_03_penalty,28,2169139651,-8.6101288,41.1844238
10690894231__2334439514__cand_03_penalty,29,430284836,-8.6118178,41.1837866
10690894231__2334439514__cand_03_penalty,30,112652015,-8.6134476,41.1833293
10690894231__2334439514__cand_03_penalty,31,112652019,-8.6180199,41.1825871
10690894231__2334439514__cand_03_penalty,32,112627996,-8.6183705,41.1823789
10690894231__2334439514__cand_03_penalty,33,112627997,-8.6193071,41.1817841
10690894231__2334439514__cand_03_penalty,34,3139458269,-8.620546,41.1811539
10690894231__2334439514__cand_03_penalty,35,112628000,-8.6219016,41.1806614
10690894231__2334439514__cand_03_penalty,36,112629313,-8.6228988,41.1803609
10690894231__2334439514__cand_03_penalty,37,2486315150,-8.6238022,41.1801771
10690894231__2334439514__cand_03_penalty,38,291991193,-8.6274757,41.1797924
10690894231__2334439514__cand_03_penalty,39,1561621066,-8.6289785,41.17962
10690894231__2334439514__cand_03_penalty,40,2583954419,-8.6296451,41.1795541
10690894231__2334439514__cand_03_penalty,41,3241140499,-8.6338977,41.1800313
10690894231__2334439514__cand_03_penalty,42,2292597582,-8.6342674,41.1802351
10690894231__2334439514__cand_03_penalty,43,13164581654,-8.6348435,41.180558
10690894231__2334439514__cand_03_penalty,44,1561604006,-8.6358021,41.1810937
10690894231__2334439514__cand_03_penalty,45,1561604053,-8.6361936,41.1813222
10690894231__2334439514__cand_03_penalty,46,10701585840,-8.6362379,41.1813461
10690894231__2334439514__cand_03_penalty,47,3139458268,-8.6369926,41.1817528
10690894231__2334439514__cand_03_penalty,48,3139458022,-8.637275,41.1819136
10690894231__2334439514__cand_03_penalty,49,1561604104,-8.6376799,41.1821412
10690894231__2334439514__cand_03_penalty,50,6241914180,-8.6379891,41.1823089
10690894231__2334439514__cand_03_penalty,51,1561604110,-8.6382609,41.1824598
10690894231__2334439514__cand_03_penalty,52,885948003,-8.6384811,41.1825894
10690894231__2334439514__cand_03_penalty,53,5486537273,-8.6395033,41.1831513
10690894231__2334439514__cand_03_penalty,54,5474314828,-8.6398913,41.1833634
10690894231__2334439514__cand_03_penalty,55,112628017,-8.6409582,41.1839497
10690894231__2334439514__cand_03_penalty,56,112628020,-8.6416622,41.1843166
10690894231__2334439514__cand_03_penalty,57,112628025,-8.6430707,41.1842739
10690894231__2334439514__cand_03_penalty,58,112628026,-8.6462188,41.1827622
10690894231__2334439514__cand_03_penalty,59,296060854,-8.6466097,41.1825548
10690894231__2334439514__cand_03_penalty,60,296060663,-8.6485916,41.1830357
10690894231__2334439514__cand_03_penalty,61,3108425096,-8.6525162,41.18311
10690894231__2334439514__cand_03_penalty,62,1801521191,-8.6527802,41.1831032
10690894231__2334439514__cand_03_penalty,63,5264881704,-8.6529825,41.1832448
10690894231__2334439514__cand_03_penalty,64,1801521211,-8.6530215,41.183296
10690894231__2334439514__cand_03_penalty,65,296061005,-8.653488,41.1831749
10690894231__2334439514__cand_03_penalty,66,1277675385,-8.6534722,41.1831059
10690894231__2334439514__cand_03_penalty,67,1353862711,-8.6534639,41.1830401
10690894231__2334439514__cand_03_penalty,68,5869817043,-8.6534365,41.1828537
10690894231__2334439514__cand_03_penalty,69,1398246222,-8.653337,41.182487
10690894231__2334439514__cand_03_penalty,70,1353862709,-8.6533215,41.1823559
10690894231__2334439514__cand_03_penalty,71,1398246221,-8.6531732,41.1819902
10690894231__2334439514__cand_03_penalty,72,125809997,-8.6531513,41.1819069
10690894231__2334439514__cand_03_penalty,73,492795570,-8.6529603,41.1810751
10690894231__2334439514__cand_03_penalty,74,1353862679,-8.6527308,41.1800578
10690894231__2334439514__cand_03_penalty,75,13326746625,-8.6527248,41.1799843
10690894231__2334439514__cand_03_penalty,76,5585519383,-8.6526871,41.1797304
10690894231__2334439514__cand_03_penalty,77,1353862704,-8.6526148,41.1794261
10690894231__2334439514__cand_03_penalty,78,2197440866,-8.6526059,41.1792391
